St.Symbol,Short Name,Unnamed: 2,52 Weeks Range,Par Value,Price,Change,Change (%),Prev. Close,Volume,Turnover,Transactions
9406,ALBILAD MSCI,,10.81  8.54  13.56,10.00,10.81,0.03,0.28 %,10.78,1809,19539,33
9402,ALAWWAL MT30,,44.50  39.85  50.00,-,44.5,0.00,0.00 %,44.5,672,30172,22
9403,ALBILAD SUKUK,,8.50  8.42  9.41,-,8.5,0.00,0.00 %,8.5,17529,148949,97
4701,ADITF,,9.07  5.66  10.00,10.00,9.07,0.06,0.67 %,9.01,462983,4188649,676
9400,YAQEEN 30,,50.25  42.70  51.70,-,50.25,(0.40),(0.79 %),50.65,3443,174132,68
9401,YAQEEN PETROCHEMICAL,,35.35  31.00  40.30,-,35.35,(0.03),(0.08 %),35.38,219,7737,14
9404,ALINMA SUKUK,,103.10  97.60  103.20,-,103.1,3.15,3.15 %,99.95,1123,115592,41
9405,ALBILAD GOLD,,10.52  9.03  11.54,-,10.52,(0.04),(0.38 %),10.56,3945,41585,95
4700,Alkhabeer Income,,7.10  5.89  7.55,-,7.1,0.00,0.00 %,7.1,75092,532868,213
9407,ALBILAD US TECH,,12.96  10.00  16.52,10.00,12.96,0.04,0.31 %,12.92,1281,16651,42
